CLKComplicationFamily,ComplicationFamily_Name,ComplicationFamily_Picture_URL,ComplicationFamily_URL,WatchFace_Name,WatchFace_Picture_URL
"0","modularSmall","https://docs-assets.developer.apple.com/published/ceab34dcca/75b82ad7-b493-40df-b8cf-9789ba8580c4.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/modularsmall","Modular","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/140b8434cf50e3ef64d153c7638127c8.png"
"0","modularSmall","https://docs-assets.developer.apple.com/published/ceab34dcca/75b82ad7-b493-40df-b8cf-9789ba8580c4.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/modularsmall","Modular Compact","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/2ceb6e8171d4448234e5d76522a47be5.png"
"1","modularLarge","https://docs-assets.developer.apple.com/published/c055f1def3/2688879b-430b-4592-b1f2-dfec716046b6.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/modularlarge","Modular Compact","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/2ceb6e8171d4448234e5d76522a47be5.png"
"2","utilitarianSmall","https://docs-assets.developer.apple.com/published/c5a3bdc689/c31cf732-8c31-4e23-9280-a8af646aea31.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitariansmall","Simple","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/9b20478e41f3257d6debadc8e78a9df0.png"
"6","utilitarianSmallFlat","https://docs-assets.developer.apple.com/published/ace3f7d1c9/5c22c7cd-94b9-4594-9526-5dd35ff44c9e.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitariansmallflat","Simple","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/9b20478e41f3257d6debadc8e78a9df0.png"
"3","utilitarianLarge","https://docs-assets.developer.apple.com/published/722cecf8bb/d001ca54-d48e-4a70-96cd-ae17812e3c1f.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitarianlarge","Utility","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/900c6a1fffaa6ce5c3aeabb67d8f9866.png"
"2","utilitarianSmall","https://docs-assets.developer.apple.com/published/c5a3bdc689/c31cf732-8c31-4e23-9280-a8af646aea31.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitariansmall","Utility","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/900c6a1fffaa6ce5c3aeabb67d8f9866.png"
"4","circularSmall","https://docs-assets.developer.apple.com/published/d41c78359f/5ef20af0-f1fa-4091-b71d-ea6f9f0e5488.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/circularsmall","Vapor","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/57a5e83ddc0680156fbc6d968f658d32.png"
"3","utilitarianLarge","https://docs-assets.developer.apple.com/published/722cecf8bb/d001ca54-d48e-4a70-96cd-ae17812e3c1f.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/utilitarianlarge","Vapor","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/57a5e83ddc0680156fbc6d968f658d32.png"
"7","extraLarge","https://docs-assets.developer.apple.com/published/ace3f7d1c9/473fb9b9-7b43-4533-b5a6-daeb36a9c499.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/extralarge","X-Large","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/75ff04313ef80d7e00dbf79f573f9ea4.png"
"12","graphicExtraLarge","https://docs-assets.developer.apple.com/published/1d2678e5b9/rendered2x-1595961163.png","https://developer.apple.com/documentation/clockkit/clkcomplicationfamily/graphicextralarge","X-Large","https://help.apple.com/assets/600F108EB67A7B74502B78B5/600F1093B67A7B74502B78C6/en_US/75ff04313ef80d7e00dbf79f573f9ea4.png"
